,Lng,Lat,tradeTime,DOM,totalPrice,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,subway,district,distanceToCapital,pricePerSquare
0,116.475489,40.01952,2016-08-09,1464.0,415.0,131.0,2,1,1,1,26,2005,Simplicity,steel-concrete composite,0.217,has elevator,has subway,7,14.074994200060901,3167.93893129771
1,116.453917,39.881534,2016-07-28,903.0,575.0,132.38,2,2,1,2,22,2004,hardcover,steel-concrete composite,0.667,has elevator,no subway,7,4.70122298052297,4343.556428463514
2,116.43801,40.076114,2016-09-30,965.0,297.5,134.0,3,1,1,1,21,2008,other,steel-concrete composite,0.273,has elevator,no subway,6,19.293038849430868,2220.1492537313434
3,116.428392,39.886229,2016-08-28,927.0,392.0,81.0,2,1,1,1,6,1960,rough,mixed,0.3329999999999999,no elevator,has subway,1,2.6833342383846914,4839.506172839507
4,116.46628,39.991363,2016-07-22,861.0,275.6,53.0,1,0,1,1,8,2005,Simplicity,steel-concrete composite,0.3329999999999999,has elevator,no subway,7,10.914650832234003,5200.0
5,116.482586,39.891991,2016-07-14,851.0,275.0,73.0,2,1,1,1,6,1997,hardcover,mixed,0.5,no elevator,no subway,7,6.556018016367339,3767.123287671233
6,116.555729,40.162058,2016-09-04,873.0,134.0,48.0,1,0,1,1,10,2009,other,mixed,0.3329999999999999,no elevator,no subway,13,31.33041182444623,2791.6666666666665
7,116.453086,39.898397,2016-09-05,865.0,380.0,68.0,1,0,0,0,23,2009,hardcover,steel-concrete composite,0.308,has elevator,has subway,1,3.950227374628464,5588.235294117647
8,116.555729,40.162058,2016-08-03,773.0,126.0,48.0,1,1,1,1,11,2009,Simplicity,mixed,0.3329999999999999,no elevator,no subway,13,31.33041182444623,2625.0
9,116.296286,39.870107,2016-06-17,706.0,285.0,80.13,1,1,1,1,24,2001,hardcover,steel-concrete composite,0.222,has elevator,has subway,2,10.210219216795767,3556.72032946462
10,116.32922,39.892447,2016-09-20,800.0,360.0,59.4,2,1,1,1,26,1990,Simplicity,steel-concrete composite,0.25,has elevator,has subway,2,6.796143729693889,6060.606060606061
11,116.405549,39.975629,2016-07-22,739.0,700.0,178.96,4,1,1,1,23,1997,Simplicity,steel-concrete composite,0.3329999999999999,has elevator,has subway,7,7.94411994163138,3911.488600804649
12,116.284755,39.93453,2016-09-17,790.0,212.0,64.28,1,0,1,1,19,2009,Simplicity,steel-concrete composite,0.111,has elevator,has subway,8,10.98955940262434,3298.070939639079
13,116.603852,39.893276,2016-06-20,691.0,336.0,111.3,2,1,1,1,6,2008,hardcover,steel-concrete composite,0.1669999999999999,has elevator,no subway,7,16.802603001374244,3018.867924528302
14,116.284755,39.93453,2016-08-23,747.0,174.6,52.0,1,0,1,1,19,2009,Simplicity,steel-concrete composite,0.111,has elevator,has subway,8,10.98955940262434,3357.6923076923076
15,116.448302,39.960966,2016-07-28,697.0,176.0,60.69,1,1,1,1,25,2008,hardcover,steel-concrete composite,0.364,has elevator,no subway,7,7.211459037747488,2899.983522820893
16,116.432142,39.902354,2016-07-26,681.0,520.0,59.65,1,1,1,1,12,2005,hardcover,steel-concrete composite,0.5,has elevator,has subway,1,2.1204733394866633,8717.518860016766
17,116.475515,40.008231,2016-06-29,622.0,213.0,58.49,1,0,1,0,30,2004,Simplicity,steel-concrete composite,0.429,has elevator,has subway,7,12.94293280114304,3641.648144982048
18,116.37301399999998,39.859478,2016-06-27,598.0,160.0,53.0,1,1,1,1,18,1998,Simplicity,steel-concrete composite,0.25,has elevator,has subway,2,5.773922784004806,3018.867924528302
19,116.284755,39.93453,2016-10-30,715.0,210.0,52.0,1,0,1,1,19,2009,Simplicity,steel-concrete composite,0.111,has elevator,has subway,8,10.98955940262434,4038.461538461538
20,116.369475,40.069842,2016-07-12,580.0,630.0,159.99,3,2,1,2,5,2004,hardcover,mixed,0.5,no elevator,no subway,8,18.69983121871567,3937.7461091318205
21,116.434144,39.892211,2016-08-08,594.0,723.0,110.54,3,1,1,1,6,1996,hardcover,mixed,0.3329999999999999,no elevator,has subway,1,2.642393728519959,6540.618780531933
22,116.376709,39.867222,2016-06-19,540.0,240.0,56.92,2,1,1,1,18,1996,Simplicity,steel-concrete composite,0.25,has elevator,has subway,2,4.8748273705260265,4216.44413211525
23,116.485296,39.991732,2016-09-27,628.0,590.0,114.15,2,2,1,1,28,2001,other,steel-concrete composite,0.375,has elevator,has subway,7,11.7824792264021,5168.637757336837
24,116.416572,40.063191,2016-09-08,603.0,354.5,69.96,3,1,1,2,11,2010,other,steel-concrete composite,0.2,has elevator,has subway,6,17.696277671153588,5067.1812464265295
25,116.257104,39.873962,2016-09-28,621.0,210.0,47.26,1,1,1,1,9,2011,Simplicity,steel-concrete composite,0.098,has elevator,has subway,2,13.256525753216218,4443.504020313162
26,116.513848,39.875068,2016-07-06,535.0,218.0,74.11,2,1,1,1,7,1993,Simplicity,concrete,0.25,no elevator,has subway,7,9.642328988176224,2941.5733369315885
27,116.257104,39.873962,2016-08-21,573.0,140.0,55.0,1,0,1,1,9,2011,hardcover,steel-concrete composite,0.098,has elevator,has subway,2,13.256525753216218,2545.4545454545455
28,116.567579,40.076173,2016-08-30,580.0,340.0,141.5,3,2,1,2,12,2004,hardcover,mixed,0.25,has elevator,no subway,13,23.492265072434314,2402.826855123675
